"5000+ hungry folk,","","Ian Smale. * Copyright © 1985 Kingsway's Thankyou Music.","Ian Smale","","",
"A humble heart","","Brian Houston * Copyright © 2000 Thankyou Music","Brian Houston","","",
"A new commandment","","Author unknown. *","Author unknown","","",
"A refuge for the poor","","Chris Tomlin & Jesse Reeves * Copyright © 2000 worshiptogether.com songs/Six Steps Music/Adm. by Kingsway Music","Chris Tomlin | Jesse Reeves","","",
"A safe stronghold our God is still,","","Martin Luther. * Tr. Thomas Carlyle.","Martin Luther","","",
"Abba Father,","","Dave Bilbrough. * Copyright © 1977 Kingsway's Thankyou Music.","Dave Bilbrough","","",
"Abide with me","","W. H. Monk. *","W. H. Monk","","",
"Above all powers;","","Lenny LeBlanc & Paul Baloche * Copyright © 1999 Lensongs Publishing/Integrity's Hosanna! Music/Sovereign Music UK","Lenny LeBlanc | Paul Baloche","SOF  #1151","",
"Abraham's Son,","","Bob Baker. * Copyright © 1994 Mercy/Vineyard Publishing/Adm. by CopyCare.","Bob Baker","Special #1","",
"Adoration (SH09 92)","","Copyright 2008 Thankyou Music/ Kingsway Songs","Brenton Brown","","",
"Again and again","","Dave Bilbrough * Copyright © 2002 Thankyou Music","Dave Bilbrough","","",
"Ah Lord God,","","Kay Chance. * Copyright © 1976 Kay Chance.","Kay Chance","","",
"All around the world","","Paul Oakley. * Copyright © 1997 Kingsway's Thankyou Music.","Paul Oakley","","",
"All around Your throne","","Paul Oakley * Copyright © 1999 Thankyou Music","Paul Oakley","","",
"All consuming fire,","","Randy Wright. * Copyright © 1987 Integrity's Hosanna!Music/ Adm. by Kingsway's Thankyou Music.","Randy Wright","","",
"All creation bows","","Mike Blow. * Copyright © 1997 Kingsway's Thankyou Music.","Mike Blow","","",
"All creation cries to You","","Marty Sampson * Copyright © 2001 Marty Sampson/Hillsong Publishing/Kingsway Music","Marty Sampson","","",
"All creatures of our God and King,","","St Francis of Assisi. * Tr. William Henry Draper.","St Francis of Assisi","","",
"All glory, laud and honour","","Theodulph of Orleans (c.750-821) * Tr. John Mason Neale (1818-66)","Theodulph of Orleans (c.750-821)","","",
"All hail King Jesus!","","Dave Moody. * Copyright © 1984 Glory Alleluia Music/ Tempo Music Publications/Adm. by CopyCare.","Dave Moody","","",
"All hail the Lamb;","","Dave Bilbrough. * Copyright © 1987 Kingsway's Thankyou Music.","Dave Bilbrough","SOF #8","",
"All hail the power of Jesus' name!","","Edward Perronet. * Revised John Rippon.","Edward Perronet","","",
"All heaven declares","","Noel and Tricia Richards. * Copyright © 1987 Kingsway's Thankyou Music.","Noel and Tricia Richards","SOF #10","",
"All heaven waits","","Graham Kendrick & Chris Rolinson. * Copyright © 1986 Kingsway's Thankyou Music.","Graham Kendrick | Chris Rolinson","","",
"All I once held dear;","","Graham Kendrick * Copyright © 1993 Make Way Music.","Graham Kendrick","SOF #646","",
"All my days","","Stuart Townend * Copyright © 1998 Thankyou Music","Stuart Townend","","",
"All my life","","Liz Holland * Copyright © 1999 Thankyou Music","Liz Holland","","",
"All of me","","Gareth Robinson * Copyright © 2001 Thankyou Music","Gareth Robinson","","",
"All of You","","Chris Tomlin & Louie Giglio * Copyright © 2002 worshiptogether.com songs/Six Steps Music/Adm. by Kingsway Music","Chris Tomlin | Louie Giglio","","",
"All over the world the Spirit is moving,","","Roy Turner. * Copyright © 1984 Kingsway's Thankyou Music.","Roy Turner","","",
"All people that on earth do dwell,","","William Kethe. *","William Kethe","","",
"All that I am","","James Wright. * Copyright © 1994 Kingsway's Thankyou Music.","James Wright","","",
"All the ends of the earth","","David Fellingham. * Copyright © 1992 Kingsway's Thankyou Music.","David Fellingham","","",
"All the riches of His grace,","","Jan Harrington. * Copyright © 1975 Celebration/Kingsway's Thankyou Music.","Jan Harrington","","",
"All the way my Saviour leads me,","","Fanny Crosby (1820-1915) *","Fanny Crosby (1820-1915)","","",
"All things bright and beautiful,","","Cecil F. Alexander. *","Cecil F. Alexander","","",
"All to Jesus I surrender","","J.W. van de Venter (1855-1939) * Copyright © HarperCollins Religious/Adm. by CopyCare","J.W. van de Venter (1855-1939)","","",
"All who are thirsty","","Brenton Brown & Glenn Robertson * Copyright © 1998 Vineyard Songs (UK/Eire)/Adm. by CopyCare","Brenton Brown | Glenn Robertson","","",
"All You angels round His throne,","","Marc Nelson. * Copyright © 1989 Mercy/Vineyard Publishing/ Adm. by CopyCare.","Marc Nelson","","",
"All You people,","","John Gibson. * Copyright © 1996 Kingsway's Thankyou Music.","John Gibson","","",
"Alleluia, alleluia,","","Donald Fishel. * Copyright © 1973 The Word of God Music/Adm by CopyCare","Donald Fishel","","",
"Alleluia, alleluia","","Tony Ryce-Kelly & Rónán Johnston * Copyright © 1997 Emmausongs/Adm. by Daybreak Music Ltd","Tony Ryce-Kelly | Rónán Johnston","","",
"Alleluia! alleluia!","","Sherrell Prebble and Howard Clark. * Copyright © 1978 Celebration/ Kingsway's Thankyou Music.","Sherrell Prebble and Howard Clark","","",
